,Unnamed: 0,datedict,timedict,BLlist,BRList,entp,extp,percandlev,Fcv,VpTotal,VnTotal,Real,Predicted,Real_Predicted,abc,Won_Mode,Loose_Mode
0,0,2023-01-03,11:31:00,_1600.858,BR_-1700.522,762.55,767.15,-839.63,-236.134,71995.56999999999,-84590.06,WON,Loose,WON_Loose,-17.493423553699216,-17.493423553699216,-27.295862122517832
1,1,2023-01-03,14:16:00,BL_4514.497,-_-3389.811,764.5,767.15,6974.25,521.752,775216.05,-670602.324,WON,WON,WON_WON,13.494783292992963,-17.493423553699216,-27.295862122517832
2,2,2023-01-06,13:46:00,BL_5767.702,-_-5589.27,762.2,761.7,-13638.29,-420.689,749470.257,-954044.625,Loose,Loose,Loose_Loose,-27.295862122517832,-17.493423553699216,-27.295862122517832
3,3,2023-01-06,14:16:00,_3603.18,BR_-5124.827,762.85,759.65,-12830.91,-459.572,1030978.431,-1223442.129,Loose,Loose,Loose_Loose,-18.668062513521193,-17.493423553699216,-27.295862122517832
4,4,2023-01-11,10:31:00,BL_849.294,-_-559.262,768.5,765.4,515.78,-128.455,20439.174,-12702.48,Loose,WON,Loose_WON,37.85228307171317,-17.493423553699216,-27.295862122517832
5,5,2023-01-11,14:16:00,BL_6659.972,-_-3610.041,759.5,759.0,-4895.5,525.26,580890.849,-654323.313,Loose,Loose,Loose_Loose,-12.641353212296849,-17.493423553699216,-27.295862122517832
6,6,2023-01-13,11:46:00,BL_9953.758,-_-5461.746,751.3,757.45,-894.56,-606.204,300186.623,-313604.973,WON,Loose,WON_Loose,-4.4700026489854565,-17.493423553699216,-27.295862122517832
7,7,2023-01-13,13:46:00,_8592.754,BR_-16444.877,755.7,752.4,11465.69,-879.884,1729814.15,-1557828.81,Loose,WON,Loose_WON,9.942417224416843,-17.493423553699216,-27.295862122517832
8,8,2023-01-17,12:31:00,BL_4890.408,-_-4613.652,745.05,751.55,-3198.05,-716.239,404592.146,-452562.824,WON,Loose,WON_Loose,-11.856551955904763,-17.493423553699216,-27.295862122517832
9,9,2023-01-17,13:31:00,_5122.277,BR_-6286.459,745.5,751.55,-7069.0,-908.627,813805.938,-919840.986,WON,Loose,WON_Loose,-13.029524982404354,-17.493423553699216,-27.295862122517832
10,10,2023-01-18,10:31:00,BL_1065.548,-_-532.24,749.0,750.25,56.33,158.658,17710.025999999998,-16865.034,WON,WON,WON_WON,4.771263463983615,-17.493423553699216,-27.295862122517832
11,11,2023-01-18,14:16:00,BL_3930.117,-_-2939.672,751.1,750.25,7007.02,442.844,686704.389,-581599.053,Loose,WON,Loose_WON,15.305761501402031,-17.493423553699216,-27.295862122517832
12,12,2023-01-24,11:31:00,BL_1803.625,-_-1294.686,745.0,742.0,470.34,271.568,71623.11,-64567.99,Loose,WON,Loose_WON,9.850340204439604,-17.493423553699216,-27.295862122517832
13,13,2023-01-27,10:16:00,_1566.018,BR_-1697.951,737.3,733.9,-749.93,166.406,14342.22,-25591.205,Loose,Loose,Loose_Loose,-78.43266244695732,-17.493423553699216,-27.295862122517832
14,14,2023-01-30,10:31:00,BL_2922.012,-_-2017.292,736.35,733.3,-1021.2,330.784,34384.649999999994,-49702.662,Loose,Loose,Loose_Loose,-44.54898333994967,-17.493423553699216,-27.295862122517832
15,15,2023-01-30,11:31:00,BL_4371.103,-_-1532.683,737.45,734.4,-1344.82,411.938,154662.99000000002,-174835.24000000002,Loose,Loose,Loose_Loose,-13.042713062769579,-17.493423553699216,-27.295862122517832
16,16,2023-01-30,13:01:00,BL_3873.534,-_-1558.5,735.35,732.1,10061.71,562.663,620887.904,-469962.272,Loose,WON,Loose_WON,24.308032259555816,-17.493423553699216,-27.295862122517832
17,17,2023-01-31,11:46:00,BL_10019.016,-_-5420.184,729.05,729.6,9291.82,1130.067,567785.427,-428408.079,WON,WON,WON_WON,24.547538801132347,-17.493423553699216,-27.295862122517832
18,18,2023-01-31,12:16:00,BL_14100.056,-_-6899.672,729.95,726.85,15779.56,1190.747,905000.525,-668307.133,Loose,WON,Loose_WON,26.153950794669427,-17.493423553699216,-27.295862122517832
19,19,2023-01-31,13:31:00,BL_15856.744,-_-8327.533,729.05,729.6,56725.95,-1460.838,2335007.088,-1484117.7659999998,WON,WON,WON_WON,36.44054557148308,-17.493423553699216,-27.295862122517832
20,20,2023-02-01,10:01:00,BL_1604.918,-_-1059.848,741.05,747.0,-70.52,196.752,6730.624,-7788.436,WON,Loose,WON_Loose,-15.71640311507521,-17.493423553699216,-27.295862122517832
21,21,2023-02-01,12:16:00,BL_3005.747,-_-2968.917,745.35,742.3,876.6,405.088,230374.885,-217225.866,Loose,WON,Loose_WON,5.707661666331376,-17.493423553699216,-27.295862122517832
22,22,2023-02-02,10:31:00,BL_1613.183,-_-1333.391,736.25,742.2,-428.99,-174.673,15482.46,-21917.334000000003,WON,Loose,WON_Loose,-41.56234861901794,-17.493423553699216,-27.295862122517832
